time,A2_0,A2_1,A2_2,A2_3,A2_4,A2_5
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0.01,0.3333446174345094,0.001999355617214466,0.0,0.33332462586625794,0.0,0.3333307566992326
0.02,0.33337844879291634,0.003997237698372414,0.0,0.33329851990341103,0.0,0.33332303130367263
0.03,0.3334347915320668,0.005993369625001731,0.0,0.33325504383740706,0.0,0.3333101646305261
0.04,0.33351360384385054,0.00798747556238531,0.0,0.33319423103000373,0.0,0.3332921651261457
0.05,0.3336148380165191,0.009979280587824903,0.0,0.3331161197897108,0.0,0.3332690421937701
0.06,0.33373844046790285,0.01196851081560611,0.0,0.33302075334568015,0.0,0.33324080618641694
0.07,0.3338843517731857,0.013954893496761937,0.0,0.3329081798261175,0.0,0.33320746840069676
0.08,0.3340525067103654,0.015938157160247827,0.0,0.3327784522231636,0.0,0.33316904106647094
0.09,0.3342428342960093,0.017918031713104778,0.0,0.33263162836539556,0.0,0.33312553733859507
0.1,0.33445525782977265,0.01989424856019433,0.0,0.3324677708837975,0.0,0.3330769712864298
0.11,0.3346896949502278,0.021866540735054545,0.0,0.33228694716890167,0.0,0.33302335788087045
0.12,0.3349460576759883,0.02383464299321377,0.0,0.3320892293393521,0.0,0.33296471298465957
0.13,0.33522425247155613,0.02579829194931891,0.0,0.33187469419134136,0.0,0.33290105333710246
0.14,0.3355241803025916,0.027757226182229124,0.0,0.33164342315592277,0.0,0.3328323965414855
0.15,0.3358457366944065,0.029711186344367223,0.0,0.33139550225389686,0.0,0.3327587610516966
0.16,0.33618881181122423,0.031659915294819874,0.0,0.33113102203402,0.0,0.3326801661547557
0.17,0.33655329051233,0.03360315818995813,0.0,0.33085007752908363,0.0,0.3325966319585863
0.18,0.3369390524335682,0.035540662609002766,0.0,0.33055276819179785,0.0,0.3325081793746339
0.19,0.33734597206837597,0.037472178667777134,0.0,0.3302391978304015,0.0,0.3324148301012224
0.2,0.33777391883527896,0.03939745911247615,0.0,0.3299094745548135,0.0,0.33231660660990753
0.21,0.33822275718017,0.04131625945036139,0.0,0.32956371069423085,0.0,0.3322135321255991
0.22,0.3386923466511925,0.04322833803986835,0.0,0.3292020227363319,0.0,0.33210563061247544
0.23,0.3391825419895486,0.04513345619810163,0.0,0.3288245312530406,0.0,0.3319929267574107
0.24,0.33969319323915226,0.04703137831841727,0.0,0.32843136081006385,0.0,0.33187544595078383
0.25,0.3402241458227326,0.048921871950246686,0.0,0.32802263990359776,0.0,0.3317532142736696
0.26,0.3407752406583608,0.050804707914698294,0.0,0.3275985008626459,0.0,0.33162625847899324
0.27,0.34134631426160045,0.05267966039774319,0.0,0.32715907976281955,0.0,0.33149460597557995
0.28,0.341937198838025,0.054546507033883626,0.0,0.32670451634742154,0.0,0.3313582848145534
0.29,0.34254772241571996,0.05640502901557987,0.0,0.3262349539138119,0.0,0.3312173236704681
0.3,0.34317770893777116,0.058255011165349466,0.0,0.32575053923351577,0.0,0.33107175182871296
0.31,0.34382697837831405,0.06009624202424346,0.0,0.3252514224509502,0.0,0.3309215991707357
0.32,0.3444953468770599,0.06192851394375997,0.0,0.3247377569657085,0.0,0.33076689615723154
0.33,0.34518262683071194,0.06375162314658828,0.0,0.32420969935166666,0.0,0.3306076738176214
0.34,0.34588862703258066,0.06556536981346893,0.0,0.32366740923276016,0.0,0.3304439637346591
0.35000000000000003,0.3466131527936097,0.06736955815114082,0.0,0.32311104917513567,0.0,0.3302757980312545
0.36,0.34735600604784067,0.0691639964504137,0.0,0.32254078459179375,0.0,0.3301032093603655
0.37,0.348116985504443,0.07094849716101802,0.0,0.3219567836051888,0.0,0.32992623089036816
0.38,0.348895886752673,0.07272287693900362,0.0,0.3213592169519837,0.0,0.3297448962953432
0.39,0.3496925023882312,0.07448695670179989,0.0,0.32074825786693173,0.0,0.32955923974483703
0.4,0.3505066221628057,0.07624056168404772,0.0,0.3201240819460483,0.0,0.329369295891146
0.41000000000000003,0.35133803308258527,0.07798352147200922,0.0,0.31948686705554724,0.0,0.3291750998618675
0.42,0.3521865195515493,0.07971567004931106,0.0,0.31883679319870456,0.0,0.32897668724974616
0.43,0.3530518635074607,0.08143684583306084,0.0,0.3181740423901713,0.0,0.328774094102368
0.44,0.35393384452409715,0.08314689169915082,0.0,0.3174987985600032,0.0,0.32856735691589967
0.45,0.354832239965946,0.08484565501399108,0.0,0.31681124740901917,0.0,0.3283565126250348
0.46,0.35574682510176936,0.08653298765311193,0.0,0.31611157630291525,0.0,0.3281415985953154
0.47000000000000003,0.35667737322151155,0.08820874601805098,0.0,0.31539997416154936,0.0,0.32792265261693904
0.48,0.35762365578788974,0.08987279105092172,0.0,0.3146766313168838,0.0,0.3276997128952265
0.49,0.3585854425352392,0.0915249882407563,0.0,0.3139417394200322,0.0,0.3274728180447286
0.5,0.35956250159732783,0.09316520762870102,0.0,0.31319549131995295,0.0,0.3272420070827192
0.51,0.3605545996485052,0.09479332380698592,0.0,0.3124380809313141,0.0,0.32700731942018063
0.52,0.36156150199455017,0.0964092159157659,0.0,0.31166970314849646,0.0,0.3267687948569533
0.53,0.36258297270939693,0.0980127676342643,0.0,0.3108905537164164,0.0,0.3265264735741866
0.54,0.36361877475589743,0.0996038671680127,0.0,0.31010082911788556,0.0,0.32628039612621695
0.55,0.3646686700789637,0.10118240723636657,0.0,0.309300726485405,0.0,0.3260306034356312
0.56,0.36573241974403525,0.10274828504924186,0.0,0.30849044347165405,0.0,0.3257771367843107
0.5700000000000001,0.36680978403548165,0.10430140228720987,0.0,0.3076701781582608,0.0,0.32552003780625743
0.58,0.36790052255783134,0.1058416650779916,0.0,0.3068401289606962,0.0,0.3252593484814724
0.59,0.36900439436648236,0.10736898396149128,0.0,0.3060004945078491,0.0,0.3249951111256685
0.6,0.3701211580510381,0.10888327386483042,0.0,0.3051514735654214,0.0,0.32472736838354044
0.61,0.3712505718411329,0.1103844540676016,0.0,0.3042932649380682,0.0,0.32445616322079884
0.62,0.37239239372576394,0.11187244815859027,0.0,0.3034260673615617,0.0,0.3241815389126743
0.63,0.3735463815272086,0.11334718400644479,0.0,0.30255007943571155,0.0,0.3239035390370798
0.64,0.3747122930095005,0.11480859371380403,0.0,0.301665499526429,0.0,0.32362220746407044
0.65,0.37588988598183937,0.11625661357041407,0.0,0.30077252567439217,0.0,0.3233375883437684
0.66,0.3770789183692923,0.11769118401839897,0.0,0.29987135553217126,0.0,0.3230497260985364
0.67,0.37827914832157866,0.11911224959634333,0.0,0.29896218626896337,0.0,0.3227586654094579
0.68,0.37949033429810053,0.1205197588932723,0.0,0.2980452144974845,0.0,0.32246445120441497
0.6900000000000001,0.3807122351408115,0.12191366450639797,0.0,0.2971206362110132,0.0,0.32216712864817526
0.7000000000000001,0.38194461017848524,0.12329392297848756,0.0,0.2961886466952724,0.0,0.3218667431262423
0.71,0.3831872192964848,0.1246604947540945,0.0,0.2952494404702799,0.0,0.32156334023323524
0.72,0.38443982301266166,0.12601334412927653,0.0,0.29430321122712416,0.0,0.3212569657602141
0.73,0.38570218257373823,0.12735243918575956,0.0,0.29335015174966056,0.0,0.32094766567660116
0.74,0.38697406001486206,0.12867775174851992,0.0,0.2923904538666347,0.0,0.3206354861185033
0.75,0.38825521823612513,0.12998925732915764,0.0,0.29142430839057576,0.0,0.3203204733732991
0.76,0.3895454210905427,0.13128693505882574,0.0,0.2904519050492502,0.0,0.32000267386020714
0.77,0.39084443343674335,0.13257076764636005,0.0,0.2894734324450288,0.0,0.3196821341182278
0.78,0.3921520212147212,0.13384074131654586,0.0,0.28848907799713686,0.0,0.31935890078814194
0.79,0.3934679515246153,0.1350968457439233,0.0,0.28749902788286824,0.0,0.3190330205925164
0.8,0.3947919926749581,0.13633907401065826,0.0,0.2865034670020655,0.0,0.3187045403229763
0.81,0.3961239142575397,0.13756742253988902,0.0,0.28550257892274145,0.0,0.3183735068197188
0.8200000000000001,0.39746348721547586,0.1387818910331472,0.0,0.2844965458324835,0.0,0.3180399669520406
0.8300000000000001,0.3988104838897197,0.13998248242621114,0.0,0.2834855485058513,0.0,0.31770396760442904
0.84,0.40016467809148965,0.141169202818889,0.0,0.2824697662542461,0.0,0.31736555565426433
0.85,0.4015258451602145,0.1423420614169008,0.0,0.28144937688635174,0.0,0.31702477795343376
0.86,0.40289376200935073,0.14350107048481278,0.0,0.2804245566775715,0.0,0.31668168131307783
0.87,0.40426820719485185,0.14464624527368022,0.0,0.2793954803248085,0.0,0.31633631248033967
0.88,0.4056489609643773,0.1457776039671486,0.0,0.2783623209143407,0.0,0.315988718121282
0.89,0.40703580530233646,0.14689516763129476,0.0,0.2773252498931957,0.0,0.31563894480446786
0.9,0.40842852399326496,0.1479989601412343,0.0,0.27628443702913696,0.0,0.3152870389775981
0.91,0.4098269026637617,0.1490890081307149,0.0,0.2752400503844797,0.0,0.31493304695175867
0.92,0.41123072882603734,0.15016534093919293,0.0,0.27419225628967636,0.0,0.3145770148842864
0.93,0.4126397919354865,0.1512279905380901,0.0,0.27314121930851387,0.0,0.3142189887559997
0.9400000000000001,0.41405388342656163,0.15227699148305365,0.0,0.27208710221668925,0.0,0.3138590143567491
0.9500000000000001,0.4154727967538324,0.15331238085886775,0.0,0.27103006597800466,0.0,0.313497137268163
0.96,0.4168963274433596,0.15433419820569672,0.0,0.2699702697146207,0.0,0.3131334028420198
0.97,0.4183242731233582,0.15534248547328258,0.0,0.2689078706895546,0.0,0.3127678561870873
0.98,0.419756433561769,0.1563372869643921,0.0,0.26784302428585877,0.0,0.31240054215237223
0.99,0.42119261071121034,0.1573186492611733,0.0,0.26677588398174207,0.0,0.3120315053070476
1.0,0.4226326087349746,0.15828662118071954,0.0,0.2657066013364286,0.0,0.3116607899285968
1.01,0.4240762340402444,0.15924125371775794,0.0,0.2646353259726189,0.0,0.31128843998713673
1.02,0.4255232953164682,0.16018259997117829,0.0,0.2635622055563185,0.0,0.3109144991272133
1.03,0.4269736035570214,0.1611107151005141,0.0,0.2624873857856951,0.0,0.3105390106572835
1.04,0.4284269720873893,0.16202565626857868,0.0,0.26141101037702796,0.0,0.3101620175355828
1.05,0.4298832165968324,0.16292748256825942,0.0,0.260333221049136,0.0,0.3097835623540316
1.06,0.431342155155933,0.16381625497949662,0.0,0.25925415751499403,0.0,0.3094036873290729
1.07,0.43280360823925584,0.16469203631262797,0.0,0.2581739574712937,0.0,0.3090224342894504
1.08,0.43426739875019915,0.16555489113563968,0.0,0.2570927565873955,0.0,0.3086398446624053
1.09,0.43573335203458774,0.16640488573113307,0.0,0.2560106884995562,0.0,0.308255959465856
