time,A2_0,A2_1,A2_2,A2_3,A2_4,A2_5
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0.01,0.3333447482817928,0.0019980860542512845,0.0,0.3333247736441747,0.0,0.33333047807403243
0.02,0.3333789364143885,0.003992153279924766,0.0,0.3332991431836762,0.0,0.33332192040193526
0.03,0.3334358077461082,0.0059819172627922365,0.0,0.3332565185158925,0.0,0.33330767373799924
0.04,0.3335152657962792,0.007967096306316342,0.0,0.33319698103521084,0.0,0.3332877531685099
0.05,0.33361720770244685,0.00994741154879757,0.0,0.33312061688673,0.0,0.3332621754108231
0.06,0.33374152433650534,0.011922587074375135,0.0,0.3330275168837849,0.0,0.3332309587797097
0.07,0.3338881003975272,0.013892349999338416,0.0,0.3329177764427114,0.0,0.3331941231597613
0.08,0.33405681454921726,0.015856430591846986,0.0,0.332791495485067,0.0,0.3331516899657157
0.09,0.33424753952043035,0.01781456235458185,0.0,0.3326487783657292,0.0,0.3331036821138404
0.1,0.334460142224223,0.01976648212029767,0.0,0.33248973378828445,0.0,0.3330501239874925
0.11,0.33469448389669987,0.02171193015435389,0.0,0.33231447470486686,0.0,0.3329910413984333
0.12,0.3349504201945579,0.023650650224812893,0.0,0.33212311824616625,0.0,0.33292646155927585
0.13,0.3352278013409845,0.025582389701759464,0.0,0.33191578561617086,0.0,0.33285641304284463
0.14,0.33552647224691934,0.02750689963393906,0.0,0.3316926020038888,0.0,0.33278092574919194
0.15,0.33584627262780675,0.029423934821601803,0.0,0.331453696498947,0.0,0.33270003087324623
0.16,0.33618703715883763,0.03133325390522028,0.0,0.33119920197807323,0.0,0.3326137608630891
0.17,0.33654859558195993,0.03323461942394866,0.0,0.3309292550267948,0.0,0.33252214939124525
0.18,0.3369307728485402,0.03512779789107904,0.0,0.33064399583508347,0.0,0.3324252313163763
0.19,0.3373333892645305,0.037012559863423944,0.0,0.3303435680901107,0.0,0.33232304264535883
0.2,0.3377562606004452,0.03888867999339186,0.0,0.33002811889536293,0.0,0.33221562050419184
0.21,0.33819919825513123,0.04075593710014236,0.0,0.3296977986493558,0.0,0.332103003095513
0.22,0.3386620093759311,0.04261411421772195,0.0,0.32935276095623145,0.0,0.33198522966783744
0.23,0.3391444969932912,0.04446299864860882,0.0,0.32899316252587646,0.0,0.33186234048083235
0.24,0.339646460181553,0.04630238201965968,0.0,0.32861916305359234,0.0,0.3317343767648547
