time,A2_0,A2_1,A2_2,A2_3,A2_4,A2_5
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0.01,0.333344761621384,0.0019996566072360937,0.0,0.3333247660725249,0.0,0.33333047230609103
0.02,0.3333790452680479,0.0039985656798253826,0.0,0.33329908147877324,0.0,0.3333218732531788
0.03,0.3334361822625603,0.005996636484148337,0.0,0.33325630649251536,0.0,0.33330751124492436
0.04,0.33351617035468334,0.00799377876766685,0.0,0.33319646958530286,0.0,0.3332873600600137
0.05,0.3336190070606172,0.009989902710962895,0.0,0.3331196007463927,0.0,0.33326139219299006
0.06,0.33374468966634696,0.011984918880006367,0.0,0.33302573147110015,0.0,0.33322957886255283
0.07,0.3338932152283566,0.013978738178010482,0.0,0.33291489475089003,0.0,0.33319189002075333
0.08,0.3340645805716829,0.015971271797676975,0.0,0.3327871250653758,0.0,0.33314829436294124
0.09,0.3342587822853996,0.017962431173773996,0.0,0.33264245837605755,0.0,0.3330987593385427
0.1,0.3344758167154465,0.01995212793560424,0.0,0.33248093212178303,0.0,0.3330432511627704
0.11,0.3347156799547926,0.021940273859590756,0.0,0.33230258521600803,0.0,0.33298173482919935
0.12,0.3349783678310583,0.023926780822360758,0.0,0.3321074580457702,0.0,0.3329141741231715
0.13,0.3352638758915095,0.025911560754043595,0.0,0.33189559247232403,0.0,0.3328405316361664
0.14,0.3355721993852871,0.027894525591430745,0.0,0.3316670318335114,0.0,0.3327607687812014
0.15,0.3359033332431711,0.029875587231760384,0.0,0.3314218209477743,0.0,0.3326748458090545
0.16,0.33625727205476824,0.03185465748696786,0.0,0.33116000611973645,0.0,0.33258272182549525
0.17,0.336634010042808,0.03383164803771441,0.0,0.33088163514748486,0.0,0.33248435480970706
0.18,0.3370335410350565,0.03580647038809889,0.0,0.33058675733138515,0.0,0.33237970163355823
0.19,0.3374558584336728,0.037779035820926246,0.0,0.33027542348437794,0.0,0.3322687180819492
0.2,0.33790095518167823,0.039749255352976284,0.0,0.32994768594388657,0.0,0.33215135887443514
0.21,0.338368823726946,0.04171703969077811,0.0,0.3296035985851975,0.0,0.33202757768785646
0.22,0.33885945598377004,0.04368229918711341,0.0,0.3292432168361883,0.0,0.3318973271800416
0.23,0.33937284329159684,0.04564494379778201,0.0,0.32886659769353876,0.0,0.33176055901486434
0.24,0.33990897637107365,0.047604883038680795,0.0,0.3284737997403918,0.0,0.3316172238885345
0.25,0.3404678452778655,0.04956202594376324,0.0,0.3280648831651964,0.0,0.331467271556938
0.26,0.34104943935374693,0.05151628102353994,0.0,0.3276399097818642,0.0,0.33131065086438877
0.27,0.3416537471747572,0.053467556223763535,0.0,0.3271989430513679,0.0,0.33114730977387485
0.28,0.34228075649732637,0.05541575888510839,0.0,0.3267420481043381,0.0,0.3309771953983353
0.29,0.3429304542018213,0.0573607957036391,0.0,0.32626929176478153,0.0,0.330800254033397
0.3,0.3436028262329229,0.0593025726914399,0.0,0.3257807425752117,0.0,0.33061643119186523
0.31,0.34429785753818587,0.061240995138336696,0.0,0.32527647082258204,0.0,0.330425671639232
0.32,0.34501553200412793,0.0631759675745801,0.0,0.3247565485651539,0.0,0.330227919430718
0.33,0.34575583238904445,0.06510739373380378,0.0,0.3242210496606843,0.0,0.33002311795027106
0.34,0.34651874025414436,0.06703517651712738,0.0,0.32367004979523645,0.0,0.329811209950619
0.35000000000000003,0.34730423589236303,0.06895921795837949,0.0,0.32310362651272434,0.0,0.32959213759491246
0.36,0.34811229825388457,0.0708794191897822,0.0,0.32252185924562604,0.0,0.3293658425004893
0.37,0.3489429048700514,0.07279568040880893,0.0,0.32192482934616634,0.0,0.3291322657837821
0.38,0.3497960317751991,0.07470790084634792,0.0,0.32131262011798556,0.0,0.3288913481068152
0.39,0.3506716534251861,0.07661597873551869,0.0,0.3206853168488105,0.0,0.32864302972600323
0.4,0.3515697426144124,0.07851981128172533,0.0,0.3200430068434223,0.0,0.3283872505421651
0.41000000000000003,0.35249027039105035,0.0804192946342011,0.0,0.31938577945683877,0.0,0.3281239501521107
0.42,0.3534332059689594,0.08231432385840111,0.0,0.3187137261283223,0.0,0.3278530679027181
0.43,0.3543985166382921,0.0842047929097423,0.0,0.3180269404154646,0.0,0.3275745429462432
0.44,0.35538616767459547,0.08609059460901455,0.0,0.3173255180282117,0.0,0.3272883142971928
0.45,0.35639612224458544,0.08797162061883798,0.0,0.3166095568635246,0.0,0.3269943208918898
0.46,0.3574283413109757,0.08984776142162304,0.0,0.3158791570398378,0.0,0.3266925016491864
0.47000000000000003,0.3584827835360385,0.09171890629937691,0.0,0.3151344209311888,0.0,0.32638279553277255
0.48,0.35955940518184343,0.09358494331476122,0.0,0.3143754532017807,0.0,0.3260651416163758
0.49,0.3606581600101115,0.09544575929383975,0.0,0.3136023608399954,0.0,0.32573947914989304
0.5,0.3617789991809395,0.0973012398108471,0.0,0.3128152531918305,0.0,0.32540574762722985
0.51,0.3629218711483008,0.09915126917443061,0.0,0.31201424199452843,0.0,0.3250638868571706
0.52,0.36408672155586824,0.10099573041577589,0.0,0.3111994414092679,0.0,0.3247138370348636
0.53,0.3652734931317392,0.10283450527894136,0.0,0.310370968053047,0.0,0.3243555388152136
