time,A2_0,A2_1,A2_2,A2_3,A2_4,A2_5
0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
0.01,0.33334474768813954,0.0019981198811630093,0.0,0.3333247726270756,0.0,0.33333047968478474
0.02,0.33337893388887174,0.003992423146953007,0.0,0.33329913387165544,0.0,0.33332193223947276
0.03,0.33343580664339695,0.005982825430552638,0.0,0.3332564831727148,0.0,0.3333077101838882
0.04,0.33351528065608854,0.007969242594763561,0.0,0.3331968880408633,0.0,0.3332878313030481
0.05,0.3336172706161076,0.009951590687862917,0.0,0.33312041738177967,0.0,0.33326231200211276
0.06,0.33374169118369423,0.011929785900669374,0.0,0.3330271414877867,0.0,0.33323116732851904
0.07,0.33388845697382635,0.013903744524242666,0.0,0.33291713203121626,0.0,0.3331944109949574
0.08,0.3340574825376988,0.015873382909137635,0.0,0.33279046205962864,0.0,0.3331520554026725
0.09,0.33424868234243593,0.01783861742595623,0.0,0.3326472059923362,0.0,0.3331041116652278
0.1,0.33446197074836637,0.019799364426616846,0.0,0.332487439618541,0.0,0.3330505896330926
0.11,0.3346972619842586,0.021755540207077106,0.0,0.33231124009716934,0.0,0.332991497918572
0.12,0.3349544701209797,0.023707060971448573,0.0,0.33211868595787736,0.0,0.33292684392114297
0.13,0.3352335090429601,0.02565384279696345,0.0,0.3319098571034657,0.0,0.33285663385357417
0.14,0.3355342924177007,0.027595801600255668,0.0,0.3316848348138334,0.0,0.33278087276846585
0.15,0.3358567336639133,0.0295328531051338,0.0,0.3314437017509677,0.0,0.332699564585119
0.16,0.33620074591772275,0.031464912811345065,0.0,0.33118654196511976,0.0,0.3326127121171574
0.17,0.3365662419969616,0.033391895964542395,0.0,0.33091344090237346,0.0,0.33252031710066493
0.18,0.33695313436432317,0.0353137175278159,0.0,0.33062448541309586,0.0,0.33242238022258097
0.19,0.3373613350888347,0.037230292154353195,0.0,0.33031976376134387,0.0,0.3323189011498215
0.2,0.337790755805462,0.03914153416123789,0.0,0.3299993656355253,0.0,0.33220987855901274
0.21,0.33824130767381194,0.0410473575048576,0.0,0.329663382159765,0.0,0.3320953101664231
0.22,0.3387129013354003,0.042947675757566056,0.0,0.3293119059059994,0.0,0.3319751927586004
0.23,0.33920544686910237,0.044842402085468365,0.0,0.3289450309071854,0.0,0.3318495222237123
0.24,0.33971885374595556,0.046731449227842566,0.0,0.3285628526710167,0.0,0.3317182935830278
0.25,0.34025303078274477,0.048614729477922156,0.0,0.328165468194149,0.0,0.3315815010231063
0.26,0.3408078860938535,0.05049215466482977,0.0,0.32775297597739145,0.0,0.3314391379287552
0.27,0.34138332704273794,0.05236363613716522,0.0,0.32732547604118556,0.0,0.3312911969160766
0.28,0.3419792601923619,0.05422908474804325,0.0,0.32688306994138977,0.0,0.33113766986624843
0.29,0.3425955912540255,0.05608841084134195,0.0,0.3264258607858664,0.0,0.3309785479601082
0.3,0.3432322250361143,0.05794152423962172,0.0,0.3259539532511139,0.0,0.3308138217127719
0.31,0.34388906539192526,0.05978833423356895,0.0,0.32546745359902435,0.0,0.33064348100905044
0.32,0.3445660151660866,0.061628749572728056,0.0,0.32496646969425863,0.0,0.3304675151396549
0.33,0.34526297614122037,0.06346267845792203,0.0,0.3244511110213994,0.0,0.33028591283738035
0.34,0.3459798489837133,0.06529002853526733,0.0,0.3239214887020837,0.0,0.3300986623142031
0.35000000000000003,0.34671653318839335,0.06711070689155584,0.0,0.32337771551253636,0.0,0.32990575129907035
0.36,0.34747292702377713,0.0689246200513491,0.0,0.3228199059005901,0.0,0.32970716707563297
0.37,0.34824892747635344,0.07073167397574218,0.0,0.3222481760025879,0.0,0.3295028965210588
0.38,0.3490444301942572,0.07253177406254985,0.0,0.3216626436604165,0.0,0.3292929261453265
0.39,0.3498593294317815,0.07432482514824552,0.0,0.3210634284377316,0.0,0.32907724213048706
0.4,0.35069351799278764,0.07611073151165897,0.0,0.32045065163601116,0.0,0.3288558303712014
0.41000000000000003,0.35154688717418997,0.077889396879097,0.0,0.3198244363104058,0.0,0.32862867651540445
0.42,0.3524193267103886,0.0796607244313031,0.0,0.3191849072845132,0.0,0.3283957660050984
0.43,0.3533107247165412,0.08142461681225284,0.0,0.31853219116493636,0.0,0.3281570841185226
0.44,0.35422096763267563,0.0831809761393269,0.0,0.31786641635525903,0.0,0.32791261601206545
